RO_NO   BPR_TPN     BOOK_STOCK_QTY
------- ----------- --------------
  5014.    4243943.          55.00
  5014.    4243994.          66.00
  5014.    4244001.          46.00
  5014.    4244028.          28.00
  5014.    4244044.          28.00
  5014.    4244052.          18.00
  5014.    4244117.          17.00
  5014.    4244176.          14.00
  5014.    4244184.           4.00
  5014.    4244192.           7.00
  5014.    4244206.           0.00
  5014.    4244222.           7.00
  5014.    4244338.          29.00
  5014.    4244354.          16.00
  5014.    4244362.          27.00
  5014.    4244370.          19.00
  5014.    4244397.          87.00
  5014.    4244427.          26.00
  5014.    4244583.          12.00
  5014.    4244591.          15.00
  5014.    4244613.           9.00
  5014.    4244842.           0.00
  5014.    4244907.          10.00
  5014.    4244923.           0.00
  5014.    4245172.          40.00
  5014.    4245199.           0.00
  5014.    4246098.          14.00
  5014.    4246101.          46.00
  5014.    4246144.          12.00
  5014.    4246152.          20.00
  5014.    4246632.        1968.00
  5014.    4247299.         256.00
  5014.    4247302.         115.00
  5014.    4247329.          69.00
  5014.    4247353.          53.00
  5014.    4247388.           6.00
  5014.    4247531.           2.00
  5014.    4247612.           3.00
  5014.    4247620.           3.00
  5014.    4247671.           2.00
  5014.    4247744.           5.00
  5014.    4247809.          17.00
  5014.    4247876.          14.00
  5014.    4247892.           7.00
  5014.    4249518.          59.00
  5014.    4252683.           5.00
  5014.    4252705.          11.00
  5014.    4253663.           4.00
  5014.    4253698.           0.00
  5014.    4253728.           4.00
  5014.    4253809.           0.00
  5014.    4253876.           0.00
  5014.    4256131.          18.00
  5014.    4256158.          23.00
  5014.    4256166.          14.00
  5014.    4256174.          19.00
  5014.    4258126.           0.00
  5014.    4258576.          79.00
  5014.    4259815.           1.00
  5014.    4259882.           2.00
  5014.    4260465.          17.00
  5014.    4260996.           6.00
  5014.    4261003.           4.00
  5014.    4261011.          10.00
  5014.    4261038.           8.00
  5014.    4261216.         719.00
  5014.    4261224.           3.00
  5014.    4261291.         417.00
  5014.    4261534.           5.00
  5014.    4263669.           0.00
  5014.    4263677.           0.00
  5014.    4263685.           0.00
  5014.    4265092.          23.00
  5014.    4265572.         210.00
  5014.    4265823.           0.00
  5014.    4266609.          25.00
  5014.    4267230.          30.00
  5014.    4267249.          26.00
  5014.    4268598.           0.00
  5014.    4269276.           0.00
  5014.    4269497.           0.00
  5014.    4269519.           0.00
  5014.    4269616.           1.00
  5014.    4269748.           0.00
  5014.    4269810.           0.00
  5014.    4269837.           0.00
  5014.    4269845.           0.00
  5014.    4269918.           0.00
  5014.    4269942.          23.00
  5014.    4269969.          72.00
  5014.    4273036.         316.00
  5014.    4273117.          33.00
  5014.    4275519.           0.00
  5014.    4275586.           0.00
  5014.    4275616.           0.00
  5014.    4275640.           0.00
  5014.    4275705.           0.00
  5014.    4275713.           0.00
  5014.    4275721.           0.00
  5014.    4275772.           0.00
  5014.    4275780.           0.00
  5014.    4276140.         134.00
  5014.    4276418.           2.00
  5014.    4276825.           0.00
  5014.    4276833.           0.00
  5014.    4276841.           0.00
  5014.    4276868.           0.00
  5014.    4276876.           0.00
  5014.    4276884.           0.00
  5014.    4278666.          24.00
  5014.    4278712.          28.00
  5014.    4278720.           8.00
  5014.    4278755.           3.00
  5014.    4278771.          32.00
  5014.    4279654.          13.00
  5014.    4279670.          71.00
  5014.    4279719.           6.00
  5014.    4279727.           7.00
  5014.    4279735.           8.00
  5014.    4279743.          12.00
  5014.    4279778.           9.00
  5014.    4279786.          20.00
  5014.    4280229.          30.00
  5014.    4280415.          29.00
  5014.    4280555.          47.00
  5014.    4281128.           0.00
  5014.    4281373.          15.00
